account no,name,age,balance,loan,marital,gender,education
15634602,Hargrave,42,0.0,no,married,Female,tertiary
15647311,Hill,41,83807.86,no,single,Female,secondary
15619304,Onio,42,159660.8,yes,married,Female,secondary
15701354,Boni,39,0.0,no,married,Female,unknown
15737888,Mitchell,43,125510.82,no,single,Female,unknown
15574012,Chu,44,113755.78,no,married,Male,tertiary
15592531,Bartlett,50,0.0,yes,single,Male,tertiary
15656148,Obinna,29,115046.74,no,divorced,Female,tertiary
15792365,He,44,142051.07,no,married,Male,primary
15592389,H?,27,134603.88,no,single,Male,secondary
15767821,Bearce,31,102016.72,no,divorced,Male,secondary
15737173,Andrews,24,0.0,no,single,Male,secondary
15632264,Kay,34,0.0,no,married,Female,secondary
15691483,Chin,25,0.0,no,married,Female,unknown
15600882,Scott,35,0.0,no,married,Female,secondary
15643966,Goforth,45,143129.41,no,married,Male,primary
15737452,Romeo,58,132602.88,no,single,Male,unknown
15788218,Henderson,24,0.0,no,married,Female,primary
15661507,Muldrow,45,0.0,no,married,Male,primary
15568982,Hao,24,0.0,no,married,Female,secondary
15577657,McDonald,41,0.0,yes,married,Male,secondary
15597945,Dellucci,32,0.0,no,married,Female,tertiary
15699309,Gerasimov,38,0.0,yes,single,Female,primary
15725737,Mosman,46,0.0,no,married,Male,secondary
15625047,Yen,38,0.0,yes,married,Female,primary
15738191,Maclean,25,0.0,no,married,Male,secondary
15736816,Young,36,136815.64,no,single,Male,tertiary
15700772,Nebechi,44,0.0,yes,married,Male,secondary
15728693,McWilliams,43,141349.43,no,single,Female,secondary
15656300,Lucciano,29,59697.17,yes,single,Male,secondary
15589475,Azikiwe,39,0.0,yes,married,Female,secondary
15706552,Odinakachukwu,36,85311.7,no,married,Male,tertiary
15750181,Sanderson,41,110112.54,yes,married,Male,secondary
15659428,Maggard,42,0.0,no,married,Female,secondary
15732963,Clements,29,0.0,no,married,Female,tertiary
15794171,Lombardo,45,134264.04,no,divorced,Female,secondary
15788448,Watson,31,145260.23,no,married,Male,secondary
15729599,Lorenzo,33,76548.6,no,married,Male,secondary
15717426,Armstrong,36,0.0,no,divorced,Male,secondary
15585768,Cameron,41,70349.48,no,single,Male,secondary
15619360,Hsiao,40,0.0,no,divorced,Male,secondary
15738148,Clarke,51,122522.32,no,married,Female,secondary
15687946,Osborne,61,117419.35,no,married,Female,unknown
15755196,Lavine,49,131394.56,no,married,Female,secondary
15684171,Bianchi,61,155931.11,no,married,Female,unknown
15754849,Tyler,32,109421.13,no,single,Female,primary
15602280,Martin,27,112045.67,no,married,Female,tertiary
15771573,Okagbue,39,137843.8,no,married,Female,secondary
15766205,Yin,38,103391.38,no,divorced,Male,secondary
15771873,Buccho,37,103769.22,no,single,Female,tertiary
15616550,Chidiebele,44,116363.37,no,married,Male,secondary
15768193,Trevisani,36,146050.97,no,divorced,Male,tertiary
15683553,O'Brien,33,0.0,no,married,Female,tertiary
15702298,Parkhill,41,125561.97,no,single,Male,secondary
15569590,Yoo,42,98495.72,yes,single,Male,secondary
15760861,Phillipps,43,125211.92,yes,single,Male,tertiary
15630053,Tsao,45,127864.4,no,single,Male,tertiary
15647091,Endrizzi,19,75888.2,no,married,Male,unknown
15623944,T'ien,66,0.0,no,single,Female,unknown
15804771,Velazquez,51,40685.92,no,married,Male,primary
15651280,Hunter,35,136857.0,no,married,Male,tertiary
15773469,Clark,27,152328.88,no,divorced,Female,secondary
15702014,Jeffrey,33,56084.69,no,married,Male,primary
15751208,Pirozzi,56,78707.16,no,married,Male,secondary
15592461,Jackson,26,109166.37,no,married,Male,unknown
15789484,Hammond,36,169831.46,no,married,Female,tertiary
15696061,Brownless,34,101633.04,no,married,Female,tertiary
15641582,Chibugo,43,123180.01,no,divorced,Male,tertiary
15638424,Glauert,35,150725.53,no,married,Female,secondary
15755648,Pisano,21,98373.26,yes,single,Female,secondary
15703793,Konovalova,58,133745.44,yes,married,Male,secondary
15620344,McKee,29,0.0,yes,married,Male,secondary
15812518,Palermo,37,163607.18,yes,married,Female,secondary
15779052,Ballard,25,157780.84,no,married,Female,primary
15770811,Wallace,36,0.0,no,married,Male,secondary
15780961,Cavenagh,21,178718.19,no,married,Female,secondary
15614049,Hu,55,0.0,yes,married,Male,secondary
15662085,Read,32,0.0,no,divorced,Female,secondary
15575185,Bushell,33,77253.22,yes,divorced,Male,secondary
15803136,Postle,41,122189.66,no,divorced,Female,secondary
15706021,Buley,34,96645.54,no,single,Female,secondary
15663706,Leonard,32,0.0,no,divorced,Female,secondary
15641732,Mills,36,0.0,no,single,Female,secondary
15701164,Onyeorulu,34,90307.62,no,married,Female,secondary
15738751,Beit,46,0.0,yes,married,Female,tertiary
15805254,Ndukaku,75,0.0,no,married,Female,primary
15762418,Gant,22,121681.82,no,married,Male,secondary
15625759,Rowley,30,0.0,no,married,Male,secondary
15622897,Sharpe,46,0.0,yes,divorced,Female,secondary
15767954,Osborne,28,81623.67,no,married,Female,secondary
15757535,Heap,44,0.0,no,single,Female,secondary
15731511,Ritchie,45,118626.55,yes,married,Male,secondary
15809248,Cole,36,0.0,no,married,Female,secondary
15640635,Capon,29,0.0,no,married,Male,unknown
15676966,Capon,42,0.0,no,divorced,Male,secondary
15699461,Fiorentini,35,176273.95,yes,married,Male,tertiary
15738721,Graham,41,102827.44,no,married,Male,secondary
15693683,Yuille,29,97086.4,no,married,Male,tertiary
15604348,Allard,22,0.0,no,married,Male,secondary
15633059,Fanucci,34,0.0,no,married,Male,tertiary
15808582,Fu,40,0.0,no,married,Female,secondary
15743192,Hung,44,0.0,no,married,Female,primary
15580146,Hung,31,82674.15,no,married,Male,primary
15776605,Bradley,36,0.0,no,married,Male,primary
15804919,Dunbabin,65,0.0,no,single,Female,tertiary
15613854,Mauldon,46,107073.27,no,married,Female,secondary
15599195,Stiger,32,88938.62,no,married,Male,tertiary
15812878,Parsons,36,99806.85,yes,married,Female,secondary
15602312,Walkom,33,150092.8,no,single,Male,secondary
15744689,T'ang,35,92833.89,no,married,Male,tertiary
15803526,Eremenko,30,90536.81,no,divorced,Male,secondary
15665790,Rowntree,39,108055.1,no,divorced,Male,secondary
15715951,Thorpe,42,100238.35,yes,married,Male,primary
15591100,Chiemela,36,106190.55,no,married,Male,primary
15609618,Fanucci,28,154475.54,no,divorced,Male,primary
15675522,Ko,30,132351.29,no,married,Female,secondary
15705512,Welch,37,167864.4,no,married,Female,secondary
15698028,Duncan,41,0.0,no,single,Female,tertiary
15661670,Chidozie,31,107818.63,no,divorced,Female,tertiary
15600781,Wu,34,185173.81,no,married,Male,primary
15682472,Culbreth,34,129433.34,no,divorced,Male,unknown
15580203,Kennedy,39,120193.42,no,married,Male,secondary
15690673,Cameron,39,0.0,no,married,Female,unknown
15760085,Calabresi,48,126384.42,yes,married,Female,secondary
15779659,Zetticci,28,0.0,yes,married,Female,tertiary
15627360,Fuller,42,152603.45,no,single,Male,secondary
15671137,MacDonald,52,0.0,yes,single,Female,secondary
15782688,Piccio,56,148507.24,yes,married,Male,secondary
15575492,Kennedy,41,0.0,no,married,Female,secondary
15591607,Fernie,24,101827.07,no,married,Male,secondary
15740404,He,34,0.0,no,married,Female,unknown
15718369,Kaodilinakachukwu,33,130862.43,no,single,Female,secondary
15677871,Cocci,38,122570.87,no,single,Male,secondary
15642004,Alekseeva,25,0.0,yes,single,Male,secondary
15712543,Chinweike,39,124828.46,no,single,Male,tertiary
15584518,Arthur,50,144895.05,no,married,Female,secondary
15802381,Li,34,63663.93,no,single,Female,secondary
15610156,Ma,40,133463.1,no,single,Male,unknown
15594408,Chia,48,213146.2,no,married,Female,secondary
15640905,Vasin,35,129490.36,no,married,Female,secondary
15698932,Groves,44,137452.09,no,divorced,Male,primary
15724944,Tien,34,0.0,no,single,Male,secondary
15628145,Forwood,43,125851.93,no,married,Female,tertiary
15713483,Greeves,52,0.0,no,married,Male,secondary
15612350,Taylor,31,40915.55,no,married,Female,secondary
15800703,Madukwe,21,113157.22,no,married,Female,secondary
15705707,Bennelong,29,138296.94,no,divorced,Female,primary
15754105,Olisanugo,37,106967.18,no,married,Male,secondary
15703264,Chukwufumnanya,44,120681.63,no,married,Male,primary
15794413,Harris,32,0.0,no,married,Male,primary
15650237,Morgan,32,0.0,no,married,Female,unknown
15759618,Alexeeva,48,0.0,no,single,Female,secondary
15811589,Metcalfe,42,0.0,no,married,Male,tertiary
15689044,Humphries,37,127609.59,no,married,Male,secondary
15709368,Milne,43,0.0,no,married,Female,primary
15679145,Chou,57,0.0,no,married,Male,secondary
15655007,Li,33,0.0,no,married,Female,unknown
15623595,Clayton,28,0.0,no,divorced,Female,secondary
15589975,Maclean,73,97259.25,no,married,Female,secondary
15804017,Chigolum,33,123246.7,no,married,Female,secondary
15692132,Wilkinson,22,101060.25,no,married,Female,unknown
15641122,Wei,30,0.0,no,single,Male,tertiary
15630910,Treacy,49,108007.36,no,single,Female,secondary
15680772,Hu,36,0.0,no,married,Female,secondary
15658929,Taverner,29,133702.89,no,married,Male,secondary
15585388,Sherman,31,125189.75,no,single,Male,secondary
15724623,Taubman,24,113034.22,no,married,Female,tertiary
15588537,Robinson,41,109013.23,no,married,Female,secondary
15574692,Pinto,39,0.0,no,married,Female,tertiary
15611325,Wood,24,57929.81,no,married,Male,primary
15587562,Hawkins,29,130114.39,no,married,Female,secondary
15613172,Sun,27,95826.49,yes,married,Male,secondary
15651022,Yost,44,129608.57,no,married,Male,unknown
15586310,Ting,30,169462.09,no,single,Male,primary
15625524,Rowe,40,0.0,no,divorced,Male,secondary
15755209,Fu,35,133868.21,no,divorced,Female,secondary
15645248,Ho,30,0.0,no,married,Female,secondary
15790355,Okechukwu,36,190479.48,no,married,Male,secondary
15762615,Campbell,40,101993.12,no,married,Female,secondary
15625426,Ashbolt,55,161608.81,no,married,Female,secondary
15716334,Rozier,45,122311.21,no,married,Female,tertiary
15789669,Hsia,65,0.0,no,divorced,Male,secondary
15621075,Ogbonnaya,45,162150.42,no,married,Female,secondary
15810845,T'ang,42,0.0,no,married,Male,secondary
15719377,Cocci,50,0.0,no,married,Female,tertiary
15654506,Chang,32,0.0,no,married,Male,primary
15771977,T'ao,39,99010.67,no,divorced,Female,unknown
15708710,Ford,37,0.0,no,married,Female,secondary
15726676,Marshall,30,0.0,yes,single,Male,secondary
15587421,Tsai,34,111388.18,no,single,Female,tertiary
15726931,Onwumelu,41,56214.85,no,married,Female,secondary
15771086,Graham,36,84327.77,no,married,Female,tertiary
15756850,Golovanov,40,0.0,no,married,Male,tertiary
15702741,Potts,32,93012.89,no,married,Male,secondary
15679200,Crawford,29,61710.44,no,married,Male,secondary
15594815,Aleshire,35,174790.15,no,single,Male,secondary
15635905,Moran,32,0.0,no,married,Female,secondary
15777892,Samsonova,37,107720.64,yes,divorced,Male,tertiary
15656176,Jenkins,57,0.0,no,married,Male,tertiary
15811127,Volkov,35,96423.84,no,divorced,Male,primary
15604482,Chiemezie,30,141040.01,no,married,Male,secondary
15622911,Jude,42,105420.18,no,married,Male,tertiary
15600974,He,50,0.0,no,married,Male,secondary
15727868,Onuora,38,129022.06,no,single,Female,unknown
15627801,Ginikanwa,33,176666.62,no,married,Male,secondary
15773039,Ku,37,0.0,no,married,Male,secondary
15755262,McDonald,41,89763.84,yes,married,Female,tertiary
15679531,Collins,34,134954.53,no,married,Male,tertiary
15684181,Hackett,45,0.0,no,single,Male,unknown
15612087,Dike,45,106376.85,no,married,Male,secondary
15752047,Trevisano,33,161814.64,no,married,Male,secondary
